week_num,avg_ci_width_old,avg_ci_width_corrected,delta
1,0.15744011825795878,0.15707220734094515,-0.00036791091701363077
2,0.1634071551801032,0.16206612613136093,-0.0013410290487422816
3,0.18218181454911866,0.18004203934407148,-0.002139775205047184
4,0.20112141667065786,0.1993169400888123,-0.001804476581845571
5,0.21393511178833835,0.2121891319008712,-0.001745979887467164
6,0.23442439781829907,0.23428145157091979,-0.00014294624737928863
7,0.24862652510634634,0.2479530778712864,-0.0006734472350599374
8,0.2876717173006843,0.2869126834971418,-0.0007590338035425304
9,0.3380148487547642,0.33692056454651326,-0.0010942842082509174
10,0.40484818124899496,0.4122824333845474,0.007434252135552433
11,0.38017554225156364,0.3746624159093549,-0.005513126342208741
