celebrity_name,season,overall_avg_score,final_placement,avg_judge_disagreement,max_judge_disagreement,avg_judge_range,score_trend_slope,score_trend_r2,trend_category,last_2_weeks_momentum
John O'Hurley,1,0.8055555555555555,2,0.5257834230632086,1.0,1.0,0.03333333333333331,0.37366548042704584,Stable,
Kelly Monaco,1,0.7111111111111111,1,0.6477918909913548,1.0,1.1666666666666667,0.09238095238095233,0.8794827854806044,Improving,
Evander Holyfield,1,0.5,5,0.7182335127930838,1.0,1.3333333333333333,-0.08333333333333336,0.892857142857143,Declining,
Rachel Hunter,1,0.7916666666666667,4,0.5773502691896258,1.1547005383792517,1.0,0.05666666666666668,0.6963855421686751,Improving,
Joey McIntyre,1,0.7033333333333334,3,0.7196152422706632,1.0,1.3,0.013333333333333322,0.3076923076923068,Stable,
Trista Sutter,1,0.6166666666666667,6,0.2886751345948129,0.5773502691896258,0.5,0.033333333333333326,1.0,Insufficient_Data,
Tatum O'Neal,2,0.6666666666666667,9,0.5773502691896258,0.5773502691896258,1.0,-0.2,1.0,Insufficient_Data,
Tia Carrere,2,0.7666666666666667,6,0.5773502691896257,0.5773502691896258,1.0,0.02333333333333329,0.20416666666666605,No_Clear_Trend,
George Hamilton,2,0.7222222222222223,5,0.45534180126147955,1.0,0.8333333333333334,0.028571428571428553,0.6026785714285714,Stable,
Lisa Rinna,2,0.8023809523809524,4,0.618589574131742,1.1547005383792517,1.0714285714285714,0.043452380952380944,0.7647818599311135,Stable,
Stacy Keibler,2,0.9173604166666667,3,0.34881338200927736,1.1547005383792517,0.6041625000000002,0.020700595238095275,0.3315342390947833,Stable,
Jerry Rice,2,0.7506941666666668,2,0.34882059888764216,0.5773502691896258,0.6041749999999999,0.015145317460317482,0.223140464088027,No_Clear_Trend,
Giselle Fernandez,2,0.7666666666666667,8,0.3849001794597506,0.5773502691896258,0.6666666666666666,-0.01666666666666683,0.2500000000000009,No_Clear_Trend,
Master P,2,0.4166666666666667,7,0.7216878364870322,1.1547005383792517,1.25,-0.04666666666666663,0.28000000000000014,No_Clear_Trend,
Drew Lachey,2,0.9145825000000001,1,0.10825317547305482,0.5773502691896257,0.1875,0.018055,0.5673675018051572,Stable,
Kenny Mayne,2,0.43333333333333335,10,0.5773502691896258,0.5773502691896258,1.0,0.0,0.0,Insufficient_Data,
Harry Hamlin,3,0.6666666666666666,9,0.3849001794597506,0.5773502691896258,0.6666666666666666,0.08333333333333316,0.8928571428571428,Improving,
Vivica A. Fox,3,0.8083333333333333,8,0.2886751345948129,1.1547005383792517,0.5,0.029999999999999992,0.3176470588235293,Stable,
Monique Coleman,3,0.83125,4,0.3247595264191645,1.1547005383792517,0.5625,0.019246031746031792,0.2490537070859472,No_Clear_Trend,
Joey Lawrence,3,0.8629629629629629,3,0.399786245705924,1.1547005383792517,0.7222222222222222,0.021111111111111115,0.31923360353721464,Stable,
Mario Lopez,3,0.8955553333333335,2,0.5156590194885575,1.1547005383792517,0.93334,0.024848363636363696,0.5494831691410715,Stable,
Emmitt Smith,3,0.8588886666666667,1,0.26358642527218856,0.5773502691896258,0.48333999999999994,0.028484727272727346,0.6315017840427086,Stable,
Shanna Moakler,3,0.6666666666666666,10,0.7886751345948129,1.0,1.5,0.13333333333333333,1.0,Insufficient_Data,
Willa Ford,3,0.8133333333333332,7,0.4618802153517006,0.5773502691896258,0.8,0.05000000000000001,0.677710843373494,Improving,
