celebrity_name,ballroom_partner,season,celebrity_age_during_season,celebrity_industry,celebrity_homecountry/region,results,final_placement,reached_finale,age_group,profession_category,is_us_contestant,gender,overall_avg_score,max_score,min_score,score_range,weeks_competed,score_trend_slope,score_trend_r2,weeks_with_scores,trend_category,avg_judge_disagreement,max_judge_disagreement,avg_judge_range,partner_experience,partner_wins_current,historical_avg_rank,historical_wins,is_controversial_case,is_controversial,rank_discrepancy,scoring_system,has_judge_elimination,is_allstar_season,last_2_weeks_momentum,week1_total,week1_avg,week1_judges,week1_judge_std,week1_judge_range,week1_judge_score_ratio,week1_status,week2_total,week2_avg,week2_judges,week2_judge_std,week2_judge_range,week2_judge_score_ratio,week2_status,week3_total,week3_avg,week3_judges,week3_judge_std,week3_judge_range,week3_judge_score_ratio,week3_status,week4_total,week4_avg,week4_judges,week4_judge_std,week4_judge_range,week4_judge_score_ratio,week4_status,week5_total,week5_avg,week5_judges,week5_judge_std,week5_judge_range,week5_judge_score_ratio,week5_status,week6_total,week6_avg,week6_judges,week6_judge_std,week6_judge_range,week6_judge_score_ratio,week6_status,week7_total,week7_avg,week7_judges,week7_judge_std,week7_judge_range,week7_judge_score_ratio,week7_status,week8_total,week8_avg,week8_judges,week8_judge_std,week8_judge_range,week8_judge_score_ratio,week8_status,week9_total,week9_avg,week9_judges,week9_judge_std,week9_judge_range,week9_judge_score_ratio,week9_status,week10_total,week10_avg,week10_judges,week10_judge_std,week10_judge_range,week10_judge_score_ratio,week10_status
John O'Hurley,Charlotte Jorgensen,1,50,Actor/Actress,United States,2nd Place,2,1,45-54,Screen,1,Male,0.8055555555555555,0.9,0.6666666666666666,0.2333333333333334,6,0.03333333333333331,0.37366548042704584,6,Stable,0.5257834230632086,1.0,1.0,1,0.0,2.0,0,0,0,-1.0,Rank,0,0,,20.0,6.666666666666667,3,0.5773502691896258,1.0,0.6666666666666666,Active,26.0,8.666666666666666,3,0.5773502691896257,1.0,0.8666666666666667,Active,24.0,8.0,3,1.0,2.0,0.8,Active,21.0,7.0,3,1.0,2.0,0.7,Active,27.0,9.0,3,0.0,0.0,0.9,Active,27.0,9.0,3,0.0,0.0,0.9,Active,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
Kelly Monaco,Alec Mazo,1,29,Actor/Actress,United States,1st Place,1,1,25-34,Screen,1,Female,0.7111111111111111,0.9166666666666666,0.43333333333333335,0.4833333333333333,6,0.09238095238095233,0.8794827854806044,6,Improving,0.6477918909913548,1.0,1.1666666666666667,5,1.0,8.4,1,0,0,2.0,Rank,0,0,,13.0,4.333333333333333,3,0.5773502691896258,1.0,0.43333333333333335,Active,17.0,5.666666666666667,3,0.5773502691896258,1.0,0.5666666666666667,Active,21.0,7.0,3,1.0,2.0,0.7,Active,26.0,8.666666666666666,3,0.5773502691896257,1.0,0.8666666666666667,Active,23.5,7.833333333333333,3,0.5773502691896258,1.0,0.7833333333333333,Active,27.5,9.166666666666666,3,0.5773502691896257,1.0,0.9166666666666666,Active,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
Evander Holyfield,Edyta Sliwinska,1,42,Athlete,United States,Eliminated Week 3,5,0,35-44,Athlete,1,Unknown,0.5,0.6,0.43333333333333335,0.16666666666666663,3,-0.08333333333333336,0.892857142857143,3,Declining,0.7182335127930838,1.0,1.3333333333333333,11,0.0,7.545454545454546,0,0,0,1.0,Rank,0,0,,18.0,6.0,3,1.0,2.0,0.6,Active,14.0,4.666666666666667,3,0.5773502691896258,1.0,0.4666666666666667,Active,13.0,4.333333333333333,3,0.5773502691896258,1.0,0.43333333333333335,Active,0.0,,0,,,,Skip,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
Rachel Hunter,Jonathan Roberts,1,35,Model,New Zealand,Eliminated Week 4,4,0,25-34,Model,0,Unknown,0.7916666666666667,0.8666666666666667,0.6666666666666666,0.20000000000000007,4,0.05666666666666668,0.6963855421686751,4,Improving,0.5773502691896258,1.1547005383792517,1.0,7,0.0,8.714285714285714,0,0,0,-2.0,Rank,0,0,,20.0,6.666666666666667,3,0.5773502691896258,1.0,0.6666666666666666,Active,24.0,8.0,3,0.0,0.0,0.8,Active,26.0,8.666666666666666,3,0.5773502691896257,1.0,0.8666666666666667,Active,25.0,8.333333333333334,3,1.1547005383792517,2.0,0.8333333333333334,Active,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
Joey McIntyre,Ashly DelGrosso,1,32,Singer/Rapper,United States,3rd Place,3,1,25-34,Music,1,Unknown,0.7033333333333334,0.75,0.6666666666666666,0.08333333333333337,5,0.013333333333333322,0.3076923076923068,5,Stable,0.7196152422706632,1.0,1.3,4,0.0,7.25,0,0,0,1.0,Rank,0,0,,20.0,6.666666666666667,3,0.5773502691896258,1.0,0.6666666666666666,Active,21.0,7.0,3,1.0,2.0,0.7,Active,22.0,7.333333333333333,3,0.5773502691896258,1.0,0.7333333333333333,Active,20.0,6.666666666666667,3,0.5773502691896258,1.0,0.6666666666666666,Active,22.5,7.5,3,0.8660254037844386,1.5,0.75,Active,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
Trista Sutter,Louis van Amstel,1,32,TV Personality,United States,Eliminated Week 2,6,0,25-34,Screen,1,Unknown,0.6166666666666667,0.6333333333333333,0.6,0.033333333333333326,2,0.033333333333333326,1.0,2,Insufficient_Data,0.2886751345948129,0.5773502691896258,0.5,11,0.0,7.0,0,0,0,-1.0,Rank,0,0,,18.0,6.0,3,0.0,0.0,0.6,Active,19.0,6.333333333333333,3,0.5773502691896258,1.0,0.6333333333333333,Active,0.0,,0,,,,Skip,0.0,,0,,,,Skip,0.0,,0,,,,Skip,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
Tatum O'Neal,Nick Kosovich,2,42,Actor/Actress,United States,Eliminated Week 2,9,0,35-44,Screen,1,Unknown,0.6666666666666667,0.7666666666666667,0.5666666666666667,0.20000000000000007,2,-0.2,1.0,2,Insufficient_Data,0.5773502691896258,0.5773502691896258,1.0,2,0.0,8.5,0,0,0,-1.0,Rank,0,0,,23.0,7.666666666666667,3,0.5773502691896258,1.0,0.7666666666666667,Active,17.0,5.666666666666667,3,0.5773502691896258,1.0,0.5666666666666667,Active,0.0,,0,,,,Skip,0.0,,0,,,,Skip,0.0,,0,,,,Skip,0.0,,0,,,,Skip,0.0,,0,,,,Skip,0.0,,0,,,,Skip,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
Tia Carrere,Maksim Chmerkoskiy,2,39,Actor/Actress,United States,Eliminated Week 5,6,0,35-44,Screen,1,Unknown,0.7666666666666667,0.8666666666666667,0.6666666666666666,0.20000000000000007,5,0.02333333333333329,0.20416666666666605,5,No_Clear_Trend,0.5773502691896257,0.5773502691896258,1.0,17,1.0,6.0,1,0,0,-2.0,Rank,0,0,,20.0,6.666666666666667,3,0.5773502691896258,1.0,0.6666666666666666,Active,22.0,7.333333333333333,3,0.5773502691896258,1.0,0.7333333333333333,Active,26.0,8.666666666666666,3,0.5773502691896257,1.0,0.8666666666666667,Active,25.0,8.333333333333334,3,0.5773502691896257,1.0,0.8333333333333334,Active,22.0,7.333333333333333,3,0.5773502691896258,1.0,0.7333333333333333,Active,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
George Hamilton,Edyta Sliwinska,2,66,Actor/Actress,United States,Eliminated Week 6,5,0,55+,Screen,1,Unknown,0.7222222222222223,0.8,0.6,0.20000000000000007,6,0.028571428571428553,0.6026785714285714,6,Stable,0.45534180126147955,1.0,0.8333333333333334,11,0.0,7.545454545454546,0,0,0,2.0,Rank,0,0,,18.0,6.0,3,1.0,2.0,0.6,Active,22.0,7.333333333333333,3,0.5773502691896258,1.0,0.7333333333333333,Active,22.0,7.333333333333333,3,0.5773502691896258,1.0,0.7333333333333333,Active,21.0,7.0,3,0.0,0.0,0.7,Active,24.0,8.0,3,0.0,0.0,0.8,Active,23.0,7.666666666666667,3,0.5773502691896258,1.0,0.7666666666666667,Active,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
Lisa Rinna,Louis van Amstel,2,42,Actor/Actress,United States,Eliminated Week 7,4,0,35-44,Screen,1,Unknown,0.8023809523809524,0.9,0.6333333333333333,0.2666666666666667,7,0.043452380952380944,0.7647818599311135,7,Stable,0.618589574131742,1.1547005383792517,1.0714285714285714,11,0.0,7.0,0,0,0,-1.0,Rank,0,0,,19.0,6.333333333333333,3,1.1547005383792517,2.0,0.6333333333333333,Active,20.0,6.666666666666667,3,0.5773502691896258,1.0,0.6666666666666666,Active,25.0,8.333333333333334,3,0.5773502691896257,1.0,0.8333333333333334,Active,26.0,8.666666666666666,3,0.5773502691896257,1.0,0.8666666666666667,Active,25.0,8.333333333333334,3,1.1547005383792517,2.0,0.8333333333333334,Active,27.0,9.0,3,0.0,0.0,0.9,Active,26.5,8.833333333333334,3,0.2886751345948129,0.5,0.8833333333333333,Active,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated,0.0,,0,,,,Eliminated
